ID,Artist,Track,Tags
"58FUwmyGUqkt53YPUcm7cJ","Keri Hilson","Knock You Down","keri hilson, rnb, female vocalists, Love, pop"
"3Tzqc58mXuVnyaGq5tEm6q","Chris Brown","Wait","soul, sexy, rnb, Hip-Hop, urban"
"54tYe1zs0Pcx3ueWtBSDNv","Keri Hilson","Knock You Down","keri hilson, rnb, female vocalists, Love, pop"
"6pWzCKTrKrwbUPzY8RLCoP","Ashanti","Rock Wit U","rnb, 2003, american, r&b"
"5rb9QrpfcKFHM1EUbSIurX","USHER","Yeah!","rnb, Hip-Hop, dance, Usher, hip hop"
"0neiNeigCzkWQPeaBKvFmq","USHER","Yeah!","rnb, Hip-Hop, dance, Usher, hip hop"
"4IHnAK9KToQkaJRCh3fnIf","USHER","Yeah!","rnb, Hip-Hop, dance, Usher, hip hop"
"3SKH53SPQbEnZR4cJPVaz2","Lola Young","Messy","indie rock, rock, british, Neo-Psychedelia, Post-punk revival"
"35ISBknsCeZQtq66xABI9g","Lola Young","Messy","indie rock, rock, british, Neo-Psychedelia, Post-punk revival"
"2yPoXCs7BSIUrucMdK5PzV","Rihanna","Umbrella","pop, Rihanna, rnb, female vocalists, dance"
"49FYlytm3dAAraYgpoJZux","Rihanna","Umbrella","pop, Rihanna, rnb, female vocalists, dance"
"7pAAD4l4zBdjz46PHL6OFT","The Game","My Turn","Gangsta Rap, the game, rap, west coast, West Coast Rap"
"4356Typ82hUiFAynbLYbPn","USHER","DJ Got Us Fallin' In Love","dance, pop, rnb, electronic, Usher"
"4IFYR5smTnHYCLP82AiDrJ","Tamia","Officially Missing You","tamia, rnb, female vocalists, slow jams, quiet storm"
"3c6afiysmB7OnxQzzSqRfD","Tamia","So Into You","rnb, soul, 90s, slow jams, tamia"
"7CkjU55ROZSwb95dzGan0o","Geeks","Officially Missing You","global fusion, chill906"
"2kQuhkFX7uSVepCD3h29g5","Akon","Smack That","Hip-Hop, Akon, rap, hip hop, dance"
"2q4rjDy9WhaN3o9MvDbO21","Soulja Boy","Kiss Me Thru The Phone","Hip-Hop, Soulja Boy, rap, kiss me thru the phone, r&b"
"0PkKjUWfXzvyYdsQsHJ2bi","Tyga","Dad's Letter","rap, Hip-Hop, 2010s, Eddy-kay"
"6Hn9Uc1mMNfqChXU3txNke","Ne-Yo","Mad","rnb, Ne-Yo, soul, r&b, mad"
"7I6DceMT3utDOHjcYCbrr4","Akon","Don't Matter","rnb, Akon, Hip-Hop, hip hop, rap"
"6eDTficajELq28coX76d1G","Akon","Don't Matter","rnb, Akon, Hip-Hop, hip hop, rap"
"1vwUsp52io0AGQ5yv470IC","Chris Brown","Take You Down","rnb, sexy, r&b, hip hop, slow jamz"
"3eze1OsZ1rqeXkKStNfTmi","Chance the Rapper","Juke Jam","justin bieber, towkio"
"3riRdhyMDfEQz5nKrxfbwv","Leon Thomas","MUTT","soul, rnb, Neo-Soul, hip hop soul, my top songs"
"1RGIjMFMgJxkZHMDXVYzOJ","T-Pain","Bartender","Hip-Hop, rap, T-Pain, rnb, relaxing"
"6bDwbLytoFQF5OiSD3TeX4","T-Pain","Bartender","Hip-Hop, rap, T-Pain, rnb, relaxing"
"2iclfHORMqpR3TxuhwVRhD","Ja Rule","Mesmerize","Hip-Hop, rap, rnb, hip hop, 2003"
"4R6OANdWnhMM9Asu3zjxK6","Ja Rule","Mesmerize","Hip-Hop, rap, rnb, hip hop, 2003"
"4fINc8dnfcz7AdhFYVA4i7","Jason Derulo","It Girl","pop, rnb, 2011, 2010s, dance"
"67T6l4q3zVjC5nZZPXByU8","Jason Derulo","Whatcha Say","pop, Jason Derulo, rnb, watcha say, whatcha say"
"7BS72CMAHCX9b6MAfoeamG","Jason Derulo","It Girl","pop, rnb, 2011, 2010s, dance"
"5Lgcn7u07bHuqbOtXkN62u","Chris Brown","With You","rnb, Chris Brown, Love, Hip-Hop, pop"
"62zFEHfAYl5kdHYOivj4BC","Pitbull","International Love","pop, Pitbull, dance, Chris Brown, rap"
"4CMrdHWqic0usIZfTrKoI3","DaniLeigh","Easy","rnb, Hip-Hop, rap, urban, trap"
"3XVBdLihbNbxUwZosxcGuJ","Alicia Keys","If I Ain't Got You","soul, rnb, female vocalists, Alicia Keys, piano"
"0ARK753YaiJbpLUk7z5yIM","Nelly","Dilemma","rnb, Hip-Hop, Nelly, rap, hip hop"
"14MgTooapmJdLlEMAr2zAM","Nelly","Dilemma","rnb, Hip-Hop, Nelly, rap, hip hop"
"4bUfMNNmiCmPXVyWzIfKeZ","Nelly","E.I.","rap, Hip-Hop, Nelly, hip hop, rnb"
"10aWGOqSDBqvNzJ9NeKDbK","Ne-Yo","Sexy Love","rnb, Ne-Yo, soul, r&b, Sexy Love"
"4QNpBfC0zvjKqPJcyqBy9W","Pitbull","Give Me Everything","dance, pop, 2011, 2010s, Ne-Yo"
"7xCPr7Q1HAfCbvvvSs7dtF","Ne-Yo","Sexy Love","rnb, Ne-Yo, soul, r&b, Sexy Love"
"1KGi9sZVMeszgZOWivFpxs","TLC","No Scrubs","rnb, 90s, pop, female vocalists, Hip-Hop"
"3NpsJc5SOINskuK3z08Q9C","TLC","No Scrubs","rnb, 90s, pop, female vocalists, Hip-Hop"
"68vgtRHr7iZHpzGpon6Jlo","USHER","My Boo","rnb, Usher, my boo, soul, Alicia Keys"
"3PeiHmqvHIAZQ7lJHIKUQZ","USHER","My Boo","rnb, Usher, my boo, soul, Alicia Keys"
"7H6ev70Weq6DdpZyyTmUXk","Destiny's Child","Say My Name","rnb, pop, destinys child, female vocalists, 90s"
"6WAhLCL1XchQzYjl15rnFp","Destiny's Child","Say My Name","rnb, pop, destinys child, female vocalists, 90s"
"4iZ4pt7kvcaH6Yo8UoZ4s2","SZA","Snooze","rnb, sza, Neo-Soul, trip hop, american"
"5YABYtKx9qa56vBjlXDbmw","SZA","Snooze","rnb, sza, Neo-Soul, trip hop, american"
"75on2JOaUTVhYyCKrNNClY","SZA","Snooze","rnb, sza, Neo-Soul, trip hop, american"
"34ceTg8ChN5HjrqiIYCn9Q","Ne-Yo","Miss Independent","rnb, Ne-Yo, pop, r&b, male vocalists"
"5pFHghfHQFUUt3CGzoxOM0","Ne-Yo","Miss Independent","rnb, Ne-Yo, pop, r&b, male vocalists"
